Store,Dept,Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday,Type,Size
19.0,13.0,2010-10-08,53.74,2.903,,,,,,132.7516667,8.067,False, ,
19.0,14.0,2010-10-08,53.74,2.903,,,,,,132.7516667,8.067,False,A,203819.0
19.0,16.0,2010-10-08,53.74,2.903,,,,,,132.7516667,8.067,False,A,203819.0
19.0,17.0,2010-10-08,53.74,2.903,,,,,,132.7516667,8.067,False,A,203819.0
19.0,18.0,2010-10-08,53.74,2.903,,,,,,132.7516667,8.067,False,A,203819.0
19.0,20.0,2010-10-08,53.74,2.903,,,,,,132.7516667,8.067,False,A,203819.0
19.0,21.0,2010-10-08,53.74,2.903,,,,,,132.7516667,8.067,False,A,203819.0
19.0,22.0,2010-10-08,53.74,2.903,,,,,,132.7516667,8.067,,A,203819.0
19.0,23.0,2010-10-08,53.74,2.903,,,,,,132.7516667,8.067,False,A,203819.0
19.0,24.0,2010-10-08,53.74,2.903,,,,,,132.7516667,8.067,False,A,
19.0,25.0,2010-10-08,53.74,2.903,,,,,,132.7516667,8.067,False,A,203819.0
19.0,26.0,2010-10-08,53.74,2.903,,,,,,Monday is sunny,8.067,False,A,203819.0
19.0,27.0,2010-10-08,53.74,2.903,,,,,,132.7516667,8.067,False,A,203819.0
19.0,28.0,2010-10-08,53.74,2.903,,,,,,132.7516667,8.067,False,A,203819.0
19.0,29.0,2010-10-08,53.74,2.903,,,,,,132.7516667,8.067,False,A,203819.0
19.0,30.0,2010-10-08,53.74,2.903,,,,,,132.7516667,8.067,False,A,203819.0
19.0,31.0,2010-10-08,53.74,2.903,,,,,,132.7516667,8.067,False, ,203819.0
19.0,32.0,2010-10-08,53.74,2.903,,,,,,132.7516667,8.067,False,A,203819.0
19.0,33.0,2010-10-08,53.74,2.903,,,,,,132.7516667,8.067,False,A,203819.0
19.0,34.0,2010-10-08,53.74,2.903,,,,,,132.7516667,8.067,False,A,203819.0
19.0,35.0,2010-10-08,53.74,2.903,,,,,,132.7516667,8.067,False,A,203819.0
19.0,36.0,2010-10-08,53.74,2.903,,,,,,132.7516667,8.067,False,A,203819.0
19.0,37.0,2010-10-08,53.74,2.903,,,,,,132.7516667,8.067,False, ,203819.0
19.0,38.0,2010-10-08,53.74,2.903,,,,,,132.7516667,8.067,False,A,203819.0
19.0,40.0,2010-10-08,53.74,2.903,,,,,,Monday is sunny,8.067,False,A,203819.0
19.0,41.0,2010-10-08,53.74,2.903,,,,,,132.7516667,8.067,False,A,203819.0
19.0,42.0,2010-10-08,53.74,2.903,,,,,,132.7516667,8.067,False,A,-1.0
19.0,44.0,2010-10-08,53.74,2.903,,,,,,132.7516667,8.067,False,A,203819.0
19.0,46.0,2010-10-08,53.74,2.903,,,,,,132.7516667,8.067,False,A,203819.0
19.0,49.0,2010-10-08,53.74,2.903,,,,,,132.7516667,8.067,False,A,203819.0
19.0,50.0,2010-10-08,53.74,2.903,,,,,,132.7516667,8.067,False,A,203819.0
19.0,52.0,2010-10-08,53.74,2.903,,,,,,132.7516667,8.067,False,A,203819.0
19.0,54.0,2010-10-08,53.74,2.903,,,,,,132.7516667,8.067,False,A,-1.0
19.0,55.0,,53.74,2.903,,,,,,132.7516667,8.067,False,A,203819.0
19.0,56.0,,53.74,2.903,,,,,,132.7516667,8.067,False,A,203819.0
19.0,58.0,2010-10-08,53.74,2.903,,,,,,132.7516667,8.067,False,A,-1.0
19.0,59.0,2010-10-08,53.74,2.903,,,,,,132.7516667,8.067,False,A,203819.0
19.0,60.0,2010-10-08,53.74,2.903,,,,,,Monday is sunny,8.067,False,A,203819.0
19.0,67.0,2010-10-08,53.74,2.903,,,,,,132.7516667,8.067,False,A,203819.0
19.0,71.0,2010-10-08,53.74,2.903,,,,,,132.7516667,8.067,False,A,203819.0
19.0,72.0,2010-10-08,53.74,2.903,,,,,,132.7516667,8.067,False,A,203819.0
19.0,74.0,2010-10-08,53.74,2.903,,,,,,132.7516667,8.067,False,A,203819.0
19.0,79.0,2010-10-08,53.74,2.903,,,,,,132.7516667,8.067,452,A,203819.0
19.0,80.0,2010-10-08,53.74,2.903,,,,,,132.7516667,8.067,False, ,203819.0
19.0,81.0,2010-10-08,53.74,2.903,,,,,,132.7516667,8.067,False,A,203819.0
19.0,82.0,2010-10-08,53.74,2.903,,,,,,132.7516667,8.067,False,A,203819.0
19.0,83.0,2010-10-08,53.74,2.903,,,,,,132.7516667,8.067,False,A,203819.0
19.0,85.0,2010-10-08,53.74,2.903,,,,,,132.7516667,8.067,False,A,203819.0
19.0,87.0,2010-10-08,53.74,2.903,,,,,,132.7516667,8.067,False,A,-1.0
19.0,90.0,2010-10-08,53.74,2.903,,,,,,132.7516667,8.067,False,A,203819.0
19.0,91.0,2010-10-08,53.74,2.903,,,,,,132.7516667,8.067,False,A,-1.0
19.0,92.0,,53.74,2.903,,,,,,132.7516667,8.067,452,A,203819.0
19.0,93.0,2010-10-08,53.74,2.903,,,,,,132.7516667,8.067,False,A,203819.0
19.0,94.0,2010-10-08,53.74,2.903,,,,,,132.7516667,8.067,False,A,203819.0
19.0,95.0,2010-10-08,53.74,2.903,,,,,,132.7516667,8.067,False,A,203819.0
19.0,96.0,2010-10-08,53.74,2.903,,,,,,132.7516667,8.067,False,A,203819.0
19.0,97.0,2010-10-08,53.74,2.903,,,,,,132.7516667,8.067,False,A,203819.0
19.0,98.0,2010-10-08,53.74,,,,,,,132.7516667,8.067,False,A,203819.0
19.0,1.0,2010-10-15,51.32,2.999,,,,,,132.7633548,8.067,False,A,203819.0
19.0,2.0,2010-10-15,51.32,2.999,,,,,,132.7633548,8.067,False, ,203819.0
19.0,3.0,2010-10-15,51.32,2.999,,,,,,132.7633548,8.067,,A,203819.0
19.0,4.0,2010-10-15,51.32,2.999,,,,,,132.7633548,8.067,False,A,203819.0
19.0,5.0,2010-10-15,51.32,2.999,,,,,,132.7633548,8.067,False, ,203819.0
19.0,6.0,2010-10-15,51.32,2.999,,,,,,132.7633548,8.067,False,A,203819.0
19.0,7.0,2010-10-15,51.32,2.999,,,,,,132.7633548,8.067,False,A,203819.0
19.0,8.0,2010-10-15,51.32,2.999,,,,,,132.7633548,8.067,False,A,203819.0
19.0,9.0,2010-10-15,51.32,2.999,,,,,,132.7633548,8.067,False,A,203819.0
19.0,10.0,2010-10-15,51.32,2.999,,,,,,132.7633548,8.067,False,A,203819.0
19.0,11.0,2010-10-15,51.32,2.999,,,,,,Monday is sunny,8.067,False,A,-1.0
19.0,12.0,2010-10-15,51.32,2.999,,,,,,132.7633548,8.067,452,A,203819.0
19.0,13.0,,51.32,2.999,,,,,,132.7633548,8.067,452,A,203819.0
19.0,14.0,2010-10-15,51.32,2.999,,,,,,132.7633548,8.067,False,A,203819.0
19.0,16.0,2010-10-15,51.32,2.999,,,,,,132.7633548,8.067,False, ,203819.0
19.0,17.0,2010-10-15,,2.999,,,,,,132.7633548,8.067,False,A,203819.0
19.0,18.0,2010-10-15,51.32,2.999,,,,,,132.7633548,8.067,False,A,203819.0
19.0,20.0,2010-10-15,51.32,2.999,,,,,,132.7633548,8.067,False, ,203819.0
19.0,21.0,2010-10-15,51.32,2.999,,,,,,132.7633548,8.067,False,A,203819.0
19.0,22.0,2010-10-15,51.32,2.999,,,,,,132.7633548,8.067,False,A,203819.0
19.0,23.0,2010-10-15,51.32,2.999,,,,,,132.7633548,8.067,False,A,203819.0
19.0,24.0,2010-10-15,51.32,2.999,,,,,,132.7633548,8.067,False,A,203819.0
19.0,25.0,2010-10-15,51.32,2.999,,,,,,,8.067,False,A,203819.0
19.0,26.0,2010-10-15,51.32,2.999,,,,,,132.7633548,8.067,False,A,203819.0
19.0,27.0,2010-10-15,51.32,2.999,,,,,,132.7633548,,False,A,203819.0
19.0,28.0,2010-10-15,51.32,2.999,,,,,,132.7633548,8.067,False,A,203819.0
19.0,29.0,2010-10-15,51.32,2.999,,,,,,132.7633548,8.067,False,A,203819.0
19.0,30.0,2010-10-15,51.32,2.999,,,,,,132.7633548,8.067,False,A,203819.0
19.0,31.0,2010-10-15,51.32,2.999,,,,,,132.7633548,8.067,False, ,203819.0
19.0,32.0,2010-10-15,51.32,2.999,,,,,,132.7633548,8.067,False,A,203819.0
19.0,33.0,2010-10-15,51.32,2.999,,,,,,132.7633548,8.067,False,A,203819.0
19.0,34.0,2010-10-15,51.32,2.999,,,,,,132.7633548,,False,A,203819.0
19.0,35.0,2010-10-15,51.32,2.999,,,,,,132.7633548,8.067,False,A,203819.0
19.0,36.0,2010-10-15,51.32,2.999,,,,,,132.7633548,8.067,False,A,203819.0
19.0,37.0,2010-10-15,51.32,2.999,,,,,,,8.067,False, ,203819.0
19.0,38.0,2010-10-15,51.32,2.999,,,,,,132.7633548,8.067,False,A,203819.0
19.0,40.0,2010-10-15,51.32,2.999,,,,,,132.7633548,8.067,False,A,203819.0
19.0,41.0,2010-10-15,51.32,2.999,,,,,,132.7633548,8.067,False,A,203819.0
19.0,42.0,2010-10-15,51.32,2.999,,,,,,132.7633548,,452,A,203819.0
19.0,44.0,2010-10-15,51.32,2.999,,,,,,132.7633548,8.067,False,A,203819.0
19.0,46.0,2010-10-15,51.32,2.999,,,,,,132.7633548,8.067,False,A,-1.0
19.0,49.0,2010-10-15,51.32,2.999,,,,,,132.7633548,8.067,False, ,203819.0
19.0,50.0,2010-10-15,,2.999,,,,,,132.7633548,8.067,False,A,203819.0
,52.0,2010-10-15,51.32,2.999,,,,,,132.7633548,8.067,False,A,203819.0
19.0,54.0,2010-10-15,51.32,2.999,,,,,,132.7633548,8.067,452,A,203819.0
19.0,55.0,2010-10-15,51.32,2.999,,,,,,132.7633548,8.067,False,A,203819.0
19.0,56.0,2010-10-15,51.32,2.999,,,,,,Monday is sunny,8.067,False,A,203819.0
19.0,58.0,2010-10-15,51.32,2.999,,,,,,132.7633548,8.067,, ,203819.0
19.0,59.0,2010-10-15,51.32,2.999,,,,,,132.7633548,8.067,False,A,203819.0
19.0,60.0,2010-10-15,51.32,2.999,,,,,,132.7633548,8.067,False,A,203819.0
19.0,67.0,2010-10-15,51.32,2.999,,,,,,132.7633548,8.067,False,A,203819.0
19.0,71.0,2010-10-15,51.32,2.999,,,,,,132.7633548,8.067,False,A,203819.0
19.0,72.0,2010-10-15,51.32,2.999,,,,,,Monday is sunny,8.067,False,A,203819.0
19.0,74.0,2010-10-15,51.32,2.999,,,,,,132.7633548,8.067,False,A,203819.0
19.0,79.0,2010-10-15,51.32,2.999,,,,,,132.7633548,8.067,False,A,203819.0
19.0,80.0,2010-10-15,51.32,2.999,,,,,,132.7633548,8.067,False,A,203819.0
19.0,81.0,2010-10-15,51.32,2.999,,,,,,132.7633548,8.067,False,A,203819.0
19.0,82.0,2010-10-15,51.32,2.999,,,,,,132.7633548,8.067,False,A,
19.0,83.0,2010-10-15,51.32,2.999,,,,,,132.7633548,8.067,False,A,203819.0
19.0,85.0,2010-10-15,51.32,2.999,,,,,,132.7633548,8.067,False,A,203819.0
19.0,87.0,2010-10-15,51.32,2.999,,,,,,132.7633548,8.067,False,A,203819.0
19.0,90.0,2010-10-15,,2.999,,,,,,132.7633548,8.067,False,A,203819.0
19.0,91.0,2010-10-15,51.32,2.999,,,,,,132.7633548,8.067,452,A,203819.0
19.0,92.0,2010-10-15,51.32,2.999,,,,,,132.7633548,8.067,452,A,203819.0
19.0,93.0,2010-10-15,51.32,2.999,,,,,,Monday is sunny,8.067,False,A,203819.0
19.0,94.0,2010-10-15,51.32,2.999,,,,,,132.7633548,8.067,False,A,-1.0
19.0,95.0,2010-10-15,51.32,2.999,,,,,,132.7633548,8.067,False,A,203819.0
19.0,96.0,2010-10-15,51.32,2.999,,,,,,132.7633548,8.067,False,A,203819.0
19.0,97.0,2010-10-15,51.32,2.999,,,,,,132.7633548,8.067,False,A,203819.0
19.0,98.0,2010-10-15,51.32,2.999,,,,,,132.7633548,8.067,False,A,203819.0
19.0,1.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,False,A,203819.0
19.0,2.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,False,A,203819.0
19.0,3.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,False,A,203819.0
19.0,4.0,2010-10-22,48.45,3.049,,,,,,Monday is sunny,8.067,False,A,203819.0
19.0,5.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,False,A,203819.0
19.0,6.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,False,A,203819.0
19.0,7.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,False, ,203819.0
19.0,8.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,False,A,203819.0
19.0,9.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,False,A,203819.0
19.0,10.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,False,A,203819.0
19.0,11.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,False,A,203819.0
19.0,12.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,False,A,203819.0
19.0,13.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,False,A,203819.0
19.0,14.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,False,A,203819.0
19.0,16.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,False,A,203819.0
19.0,17.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,False, ,203819.0
19.0,18.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,False,A,203819.0
19.0,20.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,False,A,203819.0
19.0,21.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,False,A,203819.0
19.0,,2010-10-22,48.45,3.049,,,,,,Monday is sunny,8.067,False,A,203819.0
19.0,23.0,2010-10-22,48.45,3.049,,,,,,Monday is sunny,8.067,False,A,203819.0
19.0,24.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,False,A,203819.0
19.0,25.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,False,A,203819.0
19.0,26.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,False,A,203819.0
19.0,27.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,452,A,203819.0
19.0,28.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,False,A,203819.0
19.0,29.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,False,A,203819.0
19.0,30.0,2010-10-22,48.45,3.049,,,,,,Monday is sunny,8.067,False,A,203819.0
19.0,31.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,False,A,203819.0
19.0,32.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,False,A,-1.0
19.0,33.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,False,A,203819.0
19.0,34.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,452,A,-1.0
19.0,35.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,False,A,203819.0
19.0,36.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,False,A,203819.0
19.0,37.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,False,A,203819.0
19.0,38.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,False, ,203819.0
19.0,40.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,False,A,203819.0
19.0,41.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,False,A,203819.0
19.0,42.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,False, ,203819.0
19.0,44.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,False,A,203819.0
19.0,46.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,False, ,-1.0
19.0,49.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,False,A,203819.0
19.0,50.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,False,A,-1.0
19.0,52.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,False, ,203819.0
19.0,54.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,False,A,203819.0
19.0,55.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,False,,203819.0
19.0,56.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,False,A,203819.0
19.0,58.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,False, ,203819.0
19.0,59.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,False,A,203819.0
19.0,60.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,False,A,203819.0
19.0,67.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,False,A,-1.0
19.0,71.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,False,A,203819.0
19.0,72.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,False,A,203819.0
19.0,74.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,False,A,203819.0
19.0,79.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,False,A,203819.0
19.0,80.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,,A,203819.0
19.0,81.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,False,A,203819.0
19.0,82.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,452,A,203819.0
19.0,83.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,False,A,203819.0
19.0,85.0,2010-10-22,,3.049,,,,,,132.8170968,8.067,False,A,203819.0
19.0,87.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,False,A,203819.0
19.0,90.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,False,A,203819.0
19.0,91.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,452,A,203819.0
19.0,92.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,False,A,203819.0
19.0,93.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,False,A,203819.0
19.0,94.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,False,A,203819.0
19.0,95.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,False,A,
19.0,96.0,2010-10-22,48.45,3.049,,,,,,Monday is sunny,8.067,False,A,203819.0
19.0,97.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,False,A,203819.0
19.0,98.0,2010-10-22,48.45,3.049,,,,,,132.8170968,8.067,False,A,203819.0
19.0,1.0,2010-10-29,56.11,3.055,,,,,,132.8708387,8.067,False,A,203819.0
19.0,2.0,2010-10-29,56.11,3.055,,,,,,132.8708387,8.067,False,A,203819.0
19.0,3.0,2010-10-29,56.11,3.055,,,,,,132.8708387,8.067,False,A,203819.0
19.0,4.0,2010-10-29,56.11,3.055,,,,,,132.8708387,8.067,False, ,203819.0
19.0,5.0,2010-10-29,56.11,3.055,,,,,,Monday is sunny,8.067,False,A,203819.0
19.0,6.0,2010-10-29,56.11,3.055,,,,,,132.8708387,8.067,False,A,203819.0
19.0,7.0,2010-10-29,56.11,3.055,,,,,,132.8708387,8.067,False, ,-1.0
19.0,8.0,2010-10-29,56.11,3.055,,,,,,132.8708387,8.067,False, ,203819.0
19.0,9.0,2010-10-29,56.11,3.055,,,,,,Monday is sunny,8.067,False, ,203819.0
19.0,10.0,2010-10-29,56.11,3.055,,,,,,Monday is sunny,8.067,,A,203819.0
19.0,11.0,2010-10-29,56.11,3.055,,,,,,132.8708387,8.067,False,A,203819.0
19.0,12.0,2010-10-29,56.11,3.055,,,,,,132.8708387,8.067,False,A,-1.0
19.0,13.0,2010-10-29,56.11,3.055,,,,,,132.8708387,8.067,False,A,203819.0
19.0,14.0,2010-10-29,56.11,3.055,,,,,,132.8708387,8.067,False,A,203819.0
19.0,16.0,2010-10-29,56.11,3.055,,,,,,132.8708387,8.067,False,A,203819.0
19.0,17.0,2010-10-29,56.11,3.055,,,,,,132.8708387,8.067,False,A,203819.0
19.0,18.0,2010-10-29,56.11,3.055,,,,,,132.8708387,8.067,False, ,203819.0
19.0,19.0,2010-10-29,56.11,3.055,,,,,,132.8708387,8.067,False,A,203819.0
19.0,20.0,2010-10-29,56.11,3.055,,,,,,132.8708387,8.067,False,A,203819.0
19.0,21.0,2010-10-29,56.11,3.055,,,,,,132.8708387,8.067,False, ,-1.0
19.0,22.0,2010-10-29,56.11,3.055,,,,,,132.8708387,8.067,False,A,203819.0
19.0,23.0,2010-10-29,56.11,3.055,,,,,,132.8708387,8.067,False,A,203819.0
19.0,24.0,2010-10-29,56.11,3.055,,,,,,132.8708387,8.067,452,A,203819.0
19.0,25.0,2010-10-29,56.11,3.055,,,,,,132.8708387,8.067,False,A,203819.0
19.0,26.0,2010-10-29,56.11,3.055,,,,,,132.8708387,8.067,False,A,203819.0
19.0,27.0,2010-10-29,56.11,3.055,,,,,,132.8708387,8.067,False,A,203819.0
19.0,28.0,2010-10-29,56.11,3.055,,,,,,132.8708387,8.067,False,A,203819.0
19.0,29.0,2010-10-29,56.11,3.055,,,,,,132.8708387,8.067,False,A,203819.0
19.0,30.0,2010-10-29,56.11,3.055,,,,,,132.8708387,8.067,False,A,203819.0
19.0,31.0,2010-10-29,56.11,3.055,,,,,,132.8708387,8.067,False,A,203819.0
19.0,32.0,2010-10-29,56.11,3.055,,,,,,132.8708387,8.067,False,A,203819.0
19.0,33.0,2010-10-29,56.11,3.055,,,,,,132.8708387,8.067,False, ,203819.0
19.0,34.0,2010-10-29,56.11,3.055,,,,,,Monday is sunny,8.067,False,A,203819.0
19.0,35.0,2010-10-29,56.11,3.055,,,,,,132.8708387,8.067,False,A,203819.0
19.0,36.0,2010-10-29,56.11,3.055,,,,,,132.8708387,8.067,False,A,-1.0
19.0,37.0,2010-10-29,56.11,3.055,,,,,,132.8708387,8.067,False,A,203819.0
19.0,38.0,2010-10-29,56.11,3.055,,,,,,132.8708387,8.067,False,A,203819.0
,40.0,2010-10-29,56.11,3.055,,,,,,132.8708387,8.067,False,A,203819.0
19.0,41.0,2010-10-29,56.11,3.055,,,,,,132.8708387,8.067,False,A,203819.0
19.0,,2010-10-29,56.11,3.055,,,,,,132.8708387,8.067,False,A,203819.0
19.0,44.0,2010-10-29,56.11,3.055,,,,,,132.8708387,8.067,False,A,203819.0
19.0,46.0,2010-10-29,56.11,3.055,,,,,,132.8708387,8.067,False,A,-1.0
19.0,49.0,2010-10-29,56.11,3.055,,,,,,132.8708387,8.067,False,A,203819.0
19.0,50.0,2010-10-29,56.11,3.055,,,,,,Monday is sunny,8.067,False,A,203819.0
19.0,52.0,2010-10-29,56.11,3.055,,,,,,132.8708387,8.067,False,A,203819.0
19.0,54.0,2010-10-29,56.11,3.055,,,,,,Monday is sunny,8.067,False,A,203819.0
19.0,55.0,2010-10-29,56.11,3.055,,,,,,132.8708387,8.067,False,A,203819.0
19.0,56.0,2010-10-29,56.11,3.055,,,,,,132.8708387,8.067,False,A,203819.0
19.0,58.0,2010-10-29,56.11,3.055,,,,,,132.8708387,8.067,False,A,203819.0
19.0,59.0,2010-10-29,56.11,3.055,,,,,,132.8708387,8.067,False,A,203819.0
19.0,60.0,2010-10-29,56.11,3.055,,,,,,132.8708387,8.067,False, ,203819.0
19.0,67.0,2010-10-29,56.11,3.055,,,,,,Monday is sunny,8.067,False,A,203819.0
19.0,71.0,2010-10-29,56.11,3.055,,,,,,132.8708387,8.067,False,A,203819.0
19.0,72.0,2010-10-29,56.11,3.055,,,,,,132.8708387,8.067,False,A,203819.0
19.0,74.0,2010-10-29,56.11,3.055,,,,,,132.8708387,8.067,False, ,203819.0
19.0,79.0,2010-10-29,56.11,3.055,,,,,,132.8708387,8.067,False,A,203819.0
19.0,80.0,2010-10-29,56.11,3.055,,,,,,132.8708387,8.067,False,A,203819.0
19.0,81.0,2010-10-29,56.11,3.055,,,,,,132.8708387,8.067,False,A,203819.0
19.0,82.0,2010-10-29,,3.055,,,,,,Monday is sunny,8.067,False,A,203819.0
19.0,83.0,2010-10-29,56.11,3.055,,,,,,132.8708387,8.067,,A,203819.0
19.0,85.0,2010-10-29,56.11,3.055,,,,,,132.8708387,8.067,False,A,203819.0
19.0,87.0,2010-10-29,56.11,3.055,,,,,,132.8708387,8.067,False,A,203819.0
19.0,90.0,2010-10-29,56.11,3.055,,,,,,132.8708387,8.067,False,A,203819.0
19.0,91.0,2010-10-29,56.11,3.055,,,,,,132.8708387,8.067,False, ,203819.0
19.0,92.0,2010-10-29,56.11,3.055,,,,,,132.8708387,8.067,False,A,203819.0
19.0,93.0,2010-10-29,56.11,3.055,,,,,,132.8708387,8.067,False,A,-1.0
19.0,94.0,2010-10-29,56.11,3.055,,,,,,132.8708387,8.067,False,A,203819.0
19.0,95.0,2010-10-29,56.11,3.055,,,,,,132.8708387,8.067,False,A,203819.0
19.0,96.0,2010-10-29,56.11,3.055,,,,,,132.8708387,8.067,False,A,203819.0
19.0,97.0,2010-10-29,56.11,3.055,,,,,,132.8708387,8.067,False,A,203819.0
19.0,98.0,2010-10-29,56.11,3.055,,,,,,,8.067,False,A,203819.0
19.0,1.0,2010-11-05,41.78,3.049,,,,,,132.9245806,8.067,False,A,203819.0
19.0,2.0,2010-11-05,41.78,3.049,,,,,,132.9245806,8.067,False,A,203819.0
19.0,3.0,2010-11-05,41.78,3.049,,,,,,132.9245806,8.067,False, ,203819.0
19.0,4.0,2010-11-05,41.78,3.049,,,,,,132.9245806,8.067,False,A,203819.0
19.0,5.0,2010-11-05,41.78,3.049,,,,,,132.9245806,8.067,False,A,203819.0
19.0,6.0,2010-11-05,41.78,3.049,,,,,,132.9245806,8.067,False,A,203819.0
19.0,7.0,2010-11-05,41.78,3.049,,,,,,132.9245806,8.067,False,A,203819.0
,8.0,2010-11-05,41.78,3.049,,,,,,132.9245806,8.067,False,A,203819.0
19.0,9.0,2010-11-05,41.78,3.049,,,,,,132.9245806,8.067,False,A,203819.0
19.0,10.0,2010-11-05,41.78,3.049,,,,,,132.9245806,8.067,False,A,203819.0
19.0,11.0,2010-11-05,41.78,3.049,,,,,,132.9245806,8.067,False,A,203819.0
19.0,12.0,2010-11-05,41.78,3.049,,,,,,132.9245806,8.067,False, ,203819.0
19.0,13.0,2010-11-05,41.78,3.049,,,,,,,8.067,False,A,203819.0
19.0,,2010-11-05,41.78,3.049,,,,,,132.9245806,8.067,,A,203819.0
19.0,16.0,2010-11-05,41.78,3.049,,,,,,132.9245806,8.067,False,A,203819.0
19.0,17.0,2010-11-05,41.78,3.049,,,,,,132.9245806,8.067,452, ,203819.0
19.0,18.0,2010-11-05,41.78,3.049,,,,,,132.9245806,8.067,False,A,203819.0
19.0,19.0,2010-11-05,41.78,3.049,,,,,,132.9245806,8.067,False,A,203819.0
19.0,20.0,2010-11-05,41.78,3.049,,,,,,132.9245806,8.067,False,A,203819.0
19.0,21.0,2010-11-05,41.78,3.049,,,,,,132.9245806,8.067,False,A,203819.0
19.0,22.0,2010-11-05,41.78,3.049,,,,,,Monday is sunny,8.067,False,A,203819.0
19.0,23.0,2010-11-05,41.78,3.049,,,,,,132.9245806,8.067,False,A,203819.0
19.0,24.0,2010-11-05,41.78,3.049,,,,,,132.9245806,8.067,False,A,203819.0
19.0,25.0,2010-11-05,41.78,3.049,,,,,,132.9245806,8.067,False,A,203819.0
19.0,26.0,2010-11-05,41.78,3.049,,,,,,132.9245806,8.067,False,A,203819.0
19.0,27.0,2010-11-05,41.78,3.049,,,,,,132.9245806,8.067,452,A,203819.0
19.0,28.0,2010-11-05,41.78,3.049,,,,,,132.9245806,8.067,False,A,203819.0
19.0,29.0,2010-11-05,41.78,3.049,,,,,,132.9245806,8.067,False,A,203819.0
