Store,Dept,Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday,Type,Size
2.0,22.0,2010-04-30,66.98,2.78,,,,,, ,8.2,False,A,-65.0
2.0,23.0,2010-04-30,66.98,2.78,,,,,,210.0505833,8.2,False,A,202307.0
2.0,24.0,2010-04-30,66.98,2.78,,,,,,210.0505833,8.2,1675,A,202307.0
2.0,25.0,2010-04-30,66.98,2.78,,,,,,210.0505833,8.2,False,A,202307.0
2.0,26.0,2010-04-30,66.98,2.78,,,,,,210.0505833,8.2,False,A,202307.0
2.0,27.0,2010-04-30,66.98,2.78,,,,,,210.0505833,8.2,False,A,-65.0
2.0,28.0,2010-04-30,66.98,2.78,,,,,,210.0505833,8.2,False,A,202307.0
2.0,29.0,2010-04-30,66.98,2.78,,,,,,210.0505833,8.2,False,A,202307.0
2.0,30.0,2010-04-30,66.98,2.78,,,,,,210.0505833,8.2,False,A,202307.0
2.0,31.0,2010-04-30,66.98,2.78,,,,,,210.0505833,8.2,,A,202307.0
2.0,32.0,2010-04-30,66.98,2.78,,,,,,210.0505833,8.2,,A,202307.0
2.0,33.0,2010-04-30,66.98,2.78,,,,,,210.0505833,8.2,False,A,202307.0
2.0,34.0,2010-04-30,66.98,2.78,,,,,,210.0505833,8.2,False,A,202307.0
2.0,35.0,2010-04-30,66.98,2.78,,,,,,210.0505833,8.2,False,A,202307.0
2.0,36.0,2010-04-30,66.98,2.78,,,,,,210.0505833,8.2,False,A,202307.0
2.0,37.0,2010-04-30,66.98,2.78,,,,,,210.0505833,8.2,False,economic crash,202307.0
2.0,38.0,2010-04-30,66.98,2.78,,,,,,210.0505833,8.2,False,A,202307.0
2.0,40.0,,66.98,2.78,,,,,,210.0505833,8.2,False,A,202307.0
2.0,41.0,2010-04-30,66.98,2.78,,,,,,210.0505833,8.2,False,A,202307.0
2.0,42.0,2010-04-30,66.98,2.78,,,,,,210.0505833,8.2,False,A,202307.0
2.0,44.0,2010-04-30,66.98,2.78,,,,,,210.0505833,8.2,False,A,202307.0
2.0,46.0,2010-04-30,66.98,2.78,,,,,,210.0505833,8.2,1675,A,-65.0
2.0,48.0,2010-04-30,66.98,2.78,,,,,,210.0505833,8.2,False,A,202307.0
2.0,49.0,2010-04-30,66.98,2.78,,,,,,210.0505833,8.2,False,A,202307.0
2.0,,2010-04-30,66.98,2.78,,,,,,210.0505833,8.2,False,A,202307.0
2.0,52.0,2010-04-30,66.98,2.78,,,,,,210.0505833,8.2,1675,A,202307.0
2.0,54.0,2010-04-30,66.98,2.78,,,,,,210.0505833,8.2,False,A,202307.0
2.0,55.0,2010-04-30,66.98,2.78,,,,,,210.0505833,8.2,1675,A,202307.0
2.0,56.0,2010-04-30,,2.78,,,,,,210.0505833,8.2,False,A,202307.0
2.0,58.0,2010-04-30,66.98,2.78,,,,,,210.0505833,8.2,False,A,202307.0
2.0,59.0,2010-04-30,66.98,2.78,,,,,,210.0505833,8.2,False,A,202307.0
2.0,67.0,2010-04-30,66.98,2.78,,,,,,210.0505833,8.2,False,A,202307.0
2.0,71.0,2010-04-30,66.98,2.78,,,,,,210.0505833,8.2,False,A,202307.0
2.0,72.0,2010-04-30,66.98,2.78,,,,,,210.0505833,8.2,False,A,202307.0
2.0,74.0,2010-04-30,66.98,2.78,,,,,,210.0505833,8.2,False,A,202307.0
2.0,79.0,2010-04-30,66.98,2.78,,,,,,210.0505833,8.2,False,A,202307.0
2.0,80.0,2010-04-30,66.98,2.78,,,,,,210.0505833,8.2,False,A,-65.0
2.0,81.0,2010-04-30,66.98,2.78,,,,,,210.0505833,8.2,False,A,202307.0
2.0,82.0,2010-04-30,66.98,2.78,,,,,,210.0505833,8.2,False,A,202307.0
2.0,83.0,2010-04-30,66.98,2.78,,,,,,210.0505833,8.2,False,economic crash,202307.0
2.0,85.0,2010-04-30,66.98,2.78,,,,,,210.0505833,8.2,False,economic crash,-65.0
2.0,87.0,2010-04-30,66.98,2.78,,,,,,210.0505833,8.2,False,A,202307.0
2.0,90.0,2010-04-30,66.98,2.78,,,,,, ,8.2,False,A,202307.0
2.0,91.0,2010-04-30,66.98,2.78,,,,,,,8.2,False,A,202307.0
2.0,92.0,2010-04-30,66.98,2.78,,,,,,210.0505833,8.2,False,A,202307.0
2.0,93.0,2010-04-30,66.98,2.78,,,,,,210.0505833,8.2,False,A,202307.0
2.0,94.0,2010-04-30,66.98,2.78,,,,,,210.0505833,8.2,False,A,202307.0
2.0,95.0,2010-04-30,66.98,2.78,,,,,,210.0505833,8.2,False,A,202307.0
2.0,96.0,2010-04-30,66.98,2.78,,,,,,210.0505833,8.2,False,A,202307.0
2.0,97.0,2010-04-30,66.98,2.78,,,,,,210.0505833,8.2,False,economic crash,202307.0
2.0,98.0,2010-04-30,66.98,2.78,,,,,,210.0505833,8.2,False,A,202307.0
2.0,1.0,2010-05-07,71.28,2.835,,,,,,210.0011018,8.2,False,A,202307.0
2.0,2.0,2010-05-07,71.28,2.835,,,,,,210.0011018,8.2,False,A,202307.0
2.0,3.0,2010-05-07,71.28,2.835,,,,,,210.0011018,8.2,False,A,202307.0
2.0,4.0,2010-05-07,71.28,2.835,,,,,,210.0011018,8.2,False,economic crash,202307.0
2.0,5.0,2010-05-07,71.28,2.835,,,,,,210.0011018,8.2,False,A,202307.0
2.0,6.0,2010-05-07,71.28,2.835,,,,,,210.0011018,8.2,False,A,202307.0
2.0,7.0,2010-05-07,71.28,2.835,,,,,,210.0011018,8.2,False,A,202307.0
2.0,8.0,2010-05-07,71.28,2.835,,,,,,210.0011018,8.2,False,A,202307.0
2.0,9.0,2010-05-07,71.28,2.835,,,,,,210.0011018,8.2,False,A,202307.0
2.0,10.0,2010-05-07,71.28,2.835,,,,,,210.0011018,8.2,False,A,202307.0
2.0,11.0,2010-05-07,71.28,2.835,,,,,, ,8.2,False,A,202307.0
2.0,12.0,2010-05-07,71.28,2.835,,,,,, ,8.2,False,A,202307.0
2.0,13.0,2010-05-07,71.28,2.835,,,,,,210.0011018,8.2,False,A,202307.0
2.0,14.0,2010-05-07,71.28,2.835,,,,,,210.0011018,8.2,False,A,202307.0
2.0,16.0,2010-05-07,71.28,2.835,,,,,,210.0011018,8.2,False,A,202307.0
2.0,17.0,2010-05-07,71.28,2.835,,,,,,210.0011018,8.2,1675,A,202307.0
2.0,18.0,2010-05-07,71.28,2.835,,,,,,210.0011018,8.2,False,,202307.0
2.0,19.0,2010-05-07,71.28,2.835,,,,,,210.0011018,8.2,False,A,202307.0
2.0,20.0,2010-05-07,71.28,2.835,,,,,,210.0011018,8.2,False,A,202307.0
2.0,21.0,2010-05-07,71.28,2.835,,,,,,210.0011018,8.2,False,A,202307.0
2.0,22.0,2010-05-07,71.28,2.835,,,,,,210.0011018,8.2,False,A,-65.0
2.0,23.0,2010-05-07,71.28,2.835,,,,,,210.0011018,8.2,False,A,202307.0
2.0,24.0,2010-05-07,71.28,2.835,,,,,,210.0011018,8.2,False,economic crash,202307.0
2.0,25.0,2010-05-07,71.28,2.835,,,,,,210.0011018,8.2,False,economic crash,202307.0
2.0,26.0,2010-05-07,71.28,2.835,,,,,,210.0011018,8.2,False,A,202307.0
2.0,27.0,2010-05-07,71.28,2.835,,,,,, ,8.2,False,A,202307.0
2.0,28.0,2010-05-07,71.28,2.835,,,,,,210.0011018,8.2,False,A,202307.0
2.0,29.0,2010-05-07,71.28,2.835,,,,,,210.0011018,8.2,False,A,202307.0
2.0,30.0,2010-05-07,71.28,2.835,,,,,,210.0011018,8.2,False,A,202307.0
2.0,31.0,2010-05-07,71.28,2.835,,,,,,210.0011018,8.2,False,A,202307.0
2.0,32.0,2010-05-07,71.28,2.835,,,,,,210.0011018,8.2,False,A,202307.0
2.0,33.0,2010-05-07,71.28,2.835,,,,,,210.0011018,8.2,1675,A,
2.0,34.0,2010-05-07,71.28,2.835,,,,,, ,8.2,False,A,202307.0
2.0,35.0,2010-05-07,71.28,2.835,,,,,,210.0011018,8.2,False,A,202307.0
2.0,36.0,2010-05-07,71.28,2.835,,,,,,210.0011018,8.2,False,A,202307.0
2.0,37.0,2010-05-07,71.28,2.835,,,,,,210.0011018,8.2,False,A,202307.0
2.0,38.0,2010-05-07,71.28,2.835,,,,,, ,8.2,False,A,202307.0
2.0,40.0,2010-05-07,71.28,2.835,,,,,,210.0011018,8.2,False,A,202307.0
2.0,41.0,2010-05-07,71.28,2.835,,,,,,210.0011018,8.2,False,A,202307.0
2.0,42.0,2010-05-07,71.28,2.835,,,,,,210.0011018,8.2,1675,A,202307.0
2.0,44.0,2010-05-07,71.28,2.835,,,,,,210.0011018,8.2,False,A,202307.0
2.0,45.0,2010-05-07,71.28,2.835,,,,,,210.0011018,8.2,False,A,202307.0
2.0,46.0,2010-05-07,71.28,2.835,,,,,,210.0011018,8.2,False,A,202307.0
2.0,48.0,2010-05-07,71.28,2.835,,,,,,210.0011018,8.2,False,A,-65.0
2.0,49.0,2010-05-07,71.28,2.835,,,,,,210.0011018,8.2,False,economic crash,202307.0
2.0,52.0,2010-05-07,71.28,2.835,,,,,,210.0011018,8.2,False,A,202307.0
2.0,54.0,2010-05-07,71.28,2.835,,,,,,210.0011018,8.2,False,A,202307.0
2.0,55.0,2010-05-07,71.28,2.835,,,,,,210.0011018,8.2,1675,A,202307.0
2.0,56.0,2010-05-07,71.28,2.835,,,,,,210.0011018,8.2,False,A,202307.0
2.0,58.0,2010-05-07,71.28,2.835,,,,,,210.0011018,8.2,False,A,202307.0
2.0,59.0,2010-05-07,71.28,2.835,,,,,, ,8.2,False,A,202307.0
2.0,60.0,2010-05-07,71.28,2.835,,,,,,210.0011018,8.2,False,A,202307.0
2.0,67.0,2010-05-07,71.28,2.835,,,,,,210.0011018,8.2,False,A,202307.0
2.0,71.0,2010-05-07,71.28,2.835,,,,,,210.0011018,8.2,False,A,202307.0
2.0,72.0,2010-05-07,71.28,2.835,,,,,,210.0011018,8.2,False,A,-65.0
2.0,74.0,2010-05-07,71.28,2.835,,,,,,210.0011018,8.2,False,A,202307.0
2.0,78.0,2010-05-07,71.28,2.835,,,,,,210.0011018,8.2,False,A,202307.0
2.0,79.0,2010-05-07,71.28,2.835,,,,,,210.0011018,8.2,False,A,202307.0
2.0,80.0,2010-05-07,71.28,2.835,,,,,,210.0011018,8.2,False,A,202307.0
2.0,81.0,2010-05-07,71.28,2.835,,,,,,210.0011018,8.2,False,A,202307.0
2.0,82.0,2010-05-07,71.28,2.835,,,,,, ,8.2,False,A,202307.0
2.0,83.0,2010-05-07,71.28,2.835,,,,,, ,8.2,False,A,202307.0
2.0,85.0,2010-05-07,71.28,2.835,,,,,,210.0011018,8.2,False,A,202307.0
2.0,87.0,2010-05-07,71.28,2.835,,,,,,210.0011018,8.2,False,A,202307.0
2.0,90.0,2010-05-07,71.28,2.835,,,,,,210.0011018,8.2,1675,A,202307.0
2.0,91.0,2010-05-07,71.28,2.835,,,,,,210.0011018,8.2,False,A,202307.0
2.0,92.0,2010-05-07,71.28,2.835,,,,,, ,8.2,1675,A,202307.0
2.0,93.0,2010-05-07,71.28,,,,,,,210.0011018,8.2,1675,A,202307.0
2.0,94.0,2010-05-07,71.28,2.835,,,,,,210.0011018,8.2,False,A,202307.0
2.0,95.0,2010-05-07,71.28,2.835,,,,,,210.0011018,8.2,False,A,202307.0
2.0,96.0,2010-05-07,71.28,2.835,,,,,,210.0011018,8.2,False,A,202307.0
2.0,97.0,2010-05-07,71.28,2.835,,,,,,210.0011018,8.2,False,A,202307.0
2.0,98.0,2010-05-07,71.28,2.835,,,,,,210.0011018,8.2,1675,A,202307.0
2.0,1.0,2010-05-14,73.31,2.854,,,,,,209.9984585,8.2,False,economic crash,202307.0
,2.0,2010-05-14,73.31,2.854,,,,,,209.9984585,8.2,False,A,202307.0
2.0,3.0,2010-05-14,73.31,2.854,,,,,,209.9984585,8.2,False,A,202307.0
2.0,4.0,2010-05-14,73.31,2.854,,,,,,209.9984585,8.2,1675,A,202307.0
2.0,5.0,2010-05-14,73.31,2.854,,,,,,209.9984585,8.2,False,A,-65.0
2.0,6.0,2010-05-14,73.31,2.854,,,,,, ,8.2,False,A,202307.0
2.0,7.0,2010-05-14,73.31,2.854,,,,,, ,8.2,False,A,202307.0
2.0,8.0,2010-05-14,73.31,2.854,,,,,,,8.2,False,A,202307.0
2.0,9.0,2010-05-14,73.31,2.854,,,,,,209.9984585,8.2,False,A,202307.0
2.0,10.0,2010-05-14,73.31,2.854,,,,,, ,8.2,False,A,202307.0
2.0,11.0,2010-05-14,73.31,2.854,,,,,,209.9984585,8.2,False,A,202307.0
2.0,12.0,2010-05-14,73.31,2.854,,,,,, ,8.2,False,A,202307.0
2.0,13.0,2010-05-14,73.31,2.854,,,,,,209.9984585,8.2,False,A,202307.0
2.0,14.0,2010-05-14,73.31,2.854,,,,,,209.9984585,8.2,False,A,202307.0
2.0,16.0,2010-05-14,73.31,2.854,,,,,,209.9984585,8.2,False,A,202307.0
2.0,17.0,2010-05-14,73.31,2.854,,,,,,209.9984585,8.2,False,A,202307.0
2.0,18.0,2010-05-14,73.31,2.854,,,,,,209.9984585,8.2,False,A,202307.0
2.0,19.0,2010-05-14,73.31,2.854,,,,,,209.9984585,8.2,False,A,202307.0
2.0,20.0,2010-05-14,73.31,2.854,,,,,,209.9984585,8.2,False,A,202307.0
2.0,21.0,2010-05-14,73.31,2.854,,,,,,209.9984585,8.2,False,A,202307.0
2.0,22.0,2010-05-14,73.31,2.854,,,,,,209.9984585,8.2,False,A,202307.0
2.0,23.0,2010-05-14,73.31,2.854,,,,,,209.9984585,8.2,False,A,202307.0
2.0,24.0,2010-05-14,73.31,2.854,,,,,,209.9984585,8.2,False,A,202307.0
2.0,25.0,2010-05-14,73.31,2.854,,,,,,209.9984585,8.2,False,A,202307.0
2.0,26.0,2010-05-14,73.31,2.854,,,,,,209.9984585,8.2,False,A,202307.0
2.0,27.0,,73.31,2.854,,,,,,209.9984585,8.2,False,A,
2.0,28.0,2010-05-14,73.31,2.854,,,,,,209.9984585,8.2,False,A,202307.0
2.0,29.0,2010-05-14,73.31,2.854,,,,,,209.9984585,8.2,False,A,-65.0
2.0,30.0,2010-05-14,73.31,2.854,,,,,,209.9984585,8.2,False,A,202307.0
2.0,31.0,2010-05-14,73.31,2.854,,,,,,209.9984585,8.2,False,A,202307.0
2.0,32.0,2010-05-14,73.31,2.854,,,,,,209.9984585,8.2,False,A,202307.0
2.0,33.0,2010-05-14,73.31,2.854,,,,,,209.9984585,8.2,False,A,202307.0
2.0,,2010-05-14,73.31,2.854,,,,,,209.9984585,8.2,False,A,202307.0
2.0,35.0,2010-05-14,73.31,2.854,,,,,,209.9984585,8.2,False,economic crash,202307.0
2.0,36.0,2010-05-14,73.31,2.854,,,,,, ,8.2,False,economic crash,202307.0
2.0,37.0,2010-05-14,73.31,2.854,,,,,,209.9984585,8.2,False,A,202307.0
2.0,38.0,2010-05-14,73.31,2.854,,,,,,209.9984585,8.2,False,A,
2.0,40.0,2010-05-14,73.31,2.854,,,,,,209.9984585,8.2,False,economic crash,202307.0
2.0,41.0,2010-05-14,73.31,2.854,,,,,,209.9984585,8.2,False,A,202307.0
2.0,42.0,2010-05-14,73.31,2.854,,,,,,209.9984585,8.2,1675,A,202307.0
2.0,44.0,2010-05-14,73.31,2.854,,,,,,209.9984585,8.2,False,A,202307.0
2.0,46.0,2010-05-14,73.31,2.854,,,,,,209.9984585,8.2,False,A,202307.0
2.0,48.0,2010-05-14,73.31,2.854,,,,,,209.9984585,8.2,False,,202307.0
2.0,49.0,2010-05-14,73.31,2.854,,,,,,209.9984585,8.2,False,A,202307.0
2.0,52.0,2010-05-14,73.31,2.854,,,,,,209.9984585,8.2,False,A,202307.0
2.0,54.0,2010-05-14,73.31,2.854,,,,,,209.9984585,8.2,False,A,202307.0
2.0,55.0,2010-05-14,73.31,2.854,,,,,,209.9984585,8.2,False,A,202307.0
2.0,56.0,2010-05-14,73.31,2.854,,,,,,209.9984585,8.2,False,A,202307.0
2.0,58.0,2010-05-14,73.31,2.854,,,,,,209.9984585,8.2,False,A,-65.0
2.0,59.0,2010-05-14,73.31,2.854,,,,,,209.9984585,8.2,False,A,202307.0
2.0,60.0,2010-05-14,73.31,2.854,,,,,,209.9984585,8.2,False,A,202307.0
2.0,67.0,2010-05-14,73.31,2.854,,,,,,209.9984585,8.2,False,economic crash,202307.0
2.0,71.0,2010-05-14,73.31,2.854,,,,,,209.9984585,8.2,False,A,202307.0
2.0,72.0,2010-05-14,73.31,2.854,,,,,,209.9984585,8.2,False,A,202307.0
2.0,74.0,2010-05-14,73.31,2.854,,,,,, ,8.2,False,economic crash,-65.0
2.0,79.0,2010-05-14,73.31,2.854,,,,,,209.9984585,8.2,False,A,202307.0
2.0,80.0,2010-05-14,73.31,2.854,,,,,,209.9984585,8.2,False,A,202307.0
2.0,81.0,2010-05-14,73.31,2.854,,,,,, ,8.2,False,A,202307.0
2.0,82.0,2010-05-14,73.31,2.854,,,,,,209.9984585,8.2,False,A,202307.0
2.0,83.0,2010-05-14,73.31,2.854,,,,,,209.9984585,8.2,False,A,202307.0
2.0,85.0,2010-05-14,73.31,2.854,,,,,, ,8.2,,A,202307.0
2.0,87.0,2010-05-14,73.31,2.854,,,,,,209.9984585,8.2,False,A,202307.0
2.0,90.0,2010-05-14,73.31,2.854,,,,,,209.9984585,8.2,False,A,202307.0
2.0,91.0,2010-05-14,73.31,2.854,,,,,,209.9984585,8.2,False,A,202307.0
2.0,92.0,2010-05-14,73.31,2.854,,,,,,209.9984585,,False,A,202307.0
2.0,93.0,2010-05-14,73.31,2.854,,,,,,209.9984585,8.2,False,A,202307.0
2.0,94.0,2010-05-14,73.31,2.854,,,,,,209.9984585,8.2,False,A,202307.0
2.0,95.0,2010-05-14,73.31,2.854,,,,,,209.9984585,8.2,False,A,202307.0
2.0,96.0,2010-05-14,73.31,2.854,,,,,,209.9984585,8.2,False,A,202307.0
2.0,97.0,2010-05-14,73.31,2.854,,,,,,209.9984585,8.2,False,A,202307.0
2.0,98.0,2010-05-14,73.31,2.854,,,,,,209.9984585,8.2,False,A,202307.0
2.0,1.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,False,A,202307.0
2.0,2.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,False,A,202307.0
2.0,3.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,False,A,202307.0
2.0,4.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,False,A,202307.0
,5.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,False,A,202307.0
2.0,6.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,False,A,202307.0
2.0,7.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,False,A,202307.0
2.0,8.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,False,A,202307.0
2.0,9.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,False,A,202307.0
2.0,10.0,2010-05-21,74.83,2.826,,,,,, ,8.2,False,A,202307.0
2.0,11.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,False,A,202307.0
2.0,12.0,2010-05-21,,2.826,,,,,,210.2768443,8.2,False,A,202307.0
2.0,13.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,False,A,202307.0
2.0,14.0,2010-05-21,74.83,,,,,,,210.2768443,8.2,False,A,202307.0
2.0,16.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,False,A,202307.0
2.0,17.0,2010-05-21,74.83,2.826,,,,,, ,8.2,False,A,202307.0
2.0,18.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,False,A,202307.0
2.0,19.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,False,A,202307.0
2.0,20.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,False,A,202307.0
2.0,21.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,False,A,202307.0
2.0,22.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,,A,202307.0
2.0,23.0,2010-05-21,74.83,2.826,,,,,, ,8.2,False,A,202307.0
2.0,24.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,False,A,202307.0
2.0,25.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,False,A,202307.0
2.0,26.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,False,A,202307.0
2.0,27.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,False,A,202307.0
2.0,28.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,False,A,-65.0
2.0,29.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,False,economic crash,202307.0
2.0,30.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,False,A,202307.0
2.0,31.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,False,A,202307.0
2.0,32.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,False,A,-65.0
2.0,33.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,False,A,-65.0
2.0,34.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,,A,-65.0
2.0,35.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,False,A,202307.0
2.0,36.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,False,A,202307.0
2.0,37.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,False,A,202307.0
2.0,38.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,False,economic crash,202307.0
2.0,40.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,False,A,202307.0
2.0,41.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,,A,202307.0
2.0,42.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,False,A,202307.0
2.0,44.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,False,A,-65.0
2.0,46.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,False,A,202307.0
2.0,47.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,False,A,202307.0
2.0,48.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,False,A,202307.0
2.0,49.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,False,A,202307.0
2.0,52.0,,74.83,2.826,,,,,,210.2768443,8.2,False,A,202307.0
2.0,54.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,1675,A,202307.0
2.0,55.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,False,A,202307.0
2.0,56.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,False,A,202307.0
2.0,58.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,False,A,202307.0
2.0,59.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,False,A,202307.0
2.0,67.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,False,A,202307.0
2.0,71.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,False,A,202307.0
2.0,72.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,False,A,202307.0
,74.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,False,A,202307.0
2.0,79.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,False,A,202307.0
2.0,80.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,False,A,-65.0
2.0,81.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,False,A,202307.0
2.0,82.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,False,A,202307.0
2.0,83.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,False,A,202307.0
2.0,85.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,False,A,202307.0
2.0,87.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,False,A,202307.0
2.0,90.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,False,A,202307.0
2.0,91.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,False,economic crash,-65.0
2.0,92.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,False,A,202307.0
2.0,93.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,False,A,-65.0
2.0,94.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,False,A,202307.0
2.0,95.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,1675,A,-65.0
2.0,96.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,1675,A,202307.0
2.0,97.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,False,A,202307.0
2.0,98.0,2010-05-21,74.83,2.826,,,,,,210.2768443,8.2,False,A,202307.0
2.0,1.0,2010-05-28,81.13,2.759,,,,,,210.5552301,8.2,False,A,202307.0
2.0,2.0,2010-05-28,81.13,2.759,,,,,,,8.2,False,A,202307.0
2.0,3.0,2010-05-28,81.13,2.759,,,,,,210.5552301,8.2,False,A,-65.0
,4.0,2010-05-28,81.13,2.759,,,,,,210.5552301,8.2,False,A,202307.0
2.0,5.0,2010-05-28,81.13,2.759,,,,,,210.5552301,8.2,False,A,202307.0
2.0,6.0,2010-05-28,81.13,2.759,,,,,,210.5552301,8.2,False,A,202307.0
2.0,7.0,2010-05-28,81.13,2.759,,,,,,210.5552301,8.2,False,economic crash,202307.0
2.0,8.0,2010-05-28,81.13,2.759,,,,,,210.5552301,8.2,False,A,202307.0
2.0,9.0,2010-05-28,81.13,2.759,,,,,,210.5552301,8.2,False,A,202307.0
2.0,10.0,2010-05-28,81.13,2.759,,,,,,210.5552301,8.2,False,A,202307.0
2.0,11.0,2010-05-28,81.13,2.759,,,,,,210.5552301,8.2,1675,A,202307.0
2.0,12.0,2010-05-28,81.13,2.759,,,,,,210.5552301,8.2,False,A,202307.0
2.0,13.0,2010-05-28,81.13,2.759,,,,,,210.5552301,8.2,False,A,202307.0
2.0,14.0,2010-05-28,81.13,2.759,,,,,,210.5552301,8.2,False,A,-65.0
2.0,16.0,2010-05-28,81.13,2.759,,,,,,210.5552301,8.2,False,A,202307.0
2.0,17.0,2010-05-28,81.13,2.759,,,,,, ,8.2,False,A,202307.0
2.0,18.0,2010-05-28,81.13,2.759,,,,,,210.5552301,8.2,False,A,202307.0
2.0,19.0,2010-05-28,81.13,2.759,,,,,,210.5552301,8.2,False,A,202307.0
2.0,20.0,2010-05-28,81.13,2.759,,,,,,210.5552301,8.2,False,A,202307.0
2.0,21.0,2010-05-28,81.13,2.759,,,,,,210.5552301,8.2,1675,A,202307.0
2.0,22.0,2010-05-28,81.13,2.759,,,,,,210.5552301,8.2,False,A,202307.0
2.0,23.0,2010-05-28,81.13,2.759,,,,,,210.5552301,8.2,False,A,202307.0
2.0,24.0,2010-05-28,81.13,2.759,,,,,,210.5552301,8.2,False,A,202307.0
2.0,25.0,2010-05-28,81.13,2.759,,,,,,210.5552301,8.2,False,A,202307.0
2.0,26.0,2010-05-28,81.13,2.759,,,,,,210.5552301,8.2,1675,A,202307.0
2.0,27.0,2010-05-28,81.13,2.759,,,,,,210.5552301,8.2,False,A,-65.0
2.0,28.0,2010-05-28,81.13,2.759,,,,,,210.5552301,8.2,False,A,202307.0
2.0,29.0,2010-05-28,81.13,2.759,,,,,,210.5552301,8.2,False,A,202307.0
2.0,30.0,2010-05-28,81.13,2.759,,,,,,210.5552301,8.2,False,A,202307.0
2.0,,2010-05-28,81.13,2.759,,,,,,210.5552301,8.2,False,A,202307.0
2.0,32.0,2010-05-28,81.13,2.759,,,,,,210.5552301,8.2,False,A,202307.0
2.0,33.0,2010-05-28,81.13,,,,,,,210.5552301,8.2,False,A,202307.0
